cip6,field,category
422703,Developmental and child psychology,nsfstem
422704,Experimental psychology,nsfstem
422705,Personality psychology,nsfstem
422706,Physiological psychology/psychobiology,nsfstem
422707,Social psychology,nsfstem
422708,Psychometrics and quantitative psychology,nsfstem
422709,Psychopharmacology,nsfstem
422799,"Research and experimental psychology, other",nsfstem
422801,Clinical psychology,nsfstem
422802,Community psychology,nsfstem
422803,Counseling psychology,nsfstem
422804,Industrial and organizational psychology,nsfstem
422807,Clinical child psychology,nsfstem
422808,Environmental psychology,nsfstem
422809,Geropsychology,nsfstem
42281,Health/medical psychology,nsfstem
422811,Family psychology,nsfstem
422812,Forensic psychology,nsfstem
422813,Applied psychology,nsfstem
422814,Applied behavior analysis,nsfstem
422899,"Clinical, counseling and applied psychology, other",nsfstem
429999,"Psychology, other",nsfstem
511507,Psychoanalysis and psychotherapy,nsfstem
451101,Sociology,nsfstem
451301,Sociology and anthropology,nsfstem
451401,Rural sociology,nsfstem
50101,African studies,nsfstem
50102,American/United States studies/civilization,nsfstem
50103,Asian studies/civilization,nsfstem
50104,East Asian studies,nsfstem
50105,Central/Middle and Eastern European studies,nsfstem
50106,European studies/civilization,nsfstem
50107,Latin American studies,nsfstem
50108,Near and Middle Eastern studies,nsfstem
50109,Pacific Area/Pacific Rim studies,nsfstem
5011,Russian studies,nsfstem
50111,Scandinavian studies,nsfstem
50112,South Asian studies,nsfstem
50113,Southeast Asian studies,nsfstem
50114,Western European studies,nsfstem
50115,Canadian studies,nsfstem
50118,Slavic studies,nsfstem
50119,Caribbean Studies,nsfstem
5012,Ural-Altaic and Central Asian studies,nsfstem
50121,Commonwealth studies,nsfstem
50122,"Regional studies (US, Canadian, foreign)",nsfstem
50123,Chinese studies,nsfstem
50124,French studies,nsfstem
50125,German studies,nsfstem
50126,Italian studies,nsfstem
50127,Japanese studies,nsfstem
50128,Korean studies,nsfstem
5013,Spanish and Iberian studies,nsfstem
50131,Tibetan studies,nsfstem
50133,Irish studies,nsfstem
50134,Latin American and Caribbean studies,nsfstem
50199,"Area studies, other",nsfstem
502,Ethnic studies,nsfstem
50201,African-American/black studies,nsfstem
50202,American Indian/Native American studies,nsfstem
50203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano studies",nsfstem
50206,Asian-American studies,nsfstem
50207,Women's studies,nsfstem
50208,Gay/lesbian studies,nsfstem
50209,Folklore studies,nsfstem
5021,Disability studies,nsfstem
50211,Deaf studies,nsfstem
